,Firstname,Surname,Born,Died,Born country,Gender,Year,Category,Motivation
729,Barry,Sharpless,1941-04-28,,USA,male,2001,Chemistry,"""for his work on chirally catalysed oxidation reactions"""
730,Vitaly L.,Ginzburg,1916-10-04,2009-11-08,Russia,male,2003,Physics,"""for pioneering contributions to the theory of superconductors and superfluids"""
732,Jean-Marie Gustave,Le Clézio,1940-04-13,,France,male,2008,Literature,"""author of new departures poetic adventure and sensual ecstasy explorer of a humanity beyond and below the reigning civilization"""
733,Ada E.,Yonath,1939-06-22,,Israel,female,2009,Chemistry,"""for studies of the structure and function of the ribosome"""
734,Mario,Vargas Llosa,1936-03-28,,Peru,male,2010,Literature,"""for his cartography of structures of power and his trenchant images of the individual's resistance revolt and defeat"""
735,Hiroshi,Amano,1960-09-11,,Japan,male,2014,Physics,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources"""
736,Patrick,Modiano,1945-07-30,,France,male,2014,Literature,"""for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation"""
737,Youyou,Tu,1930-12-30,,China,female,2015,Medicine,"""for her discoveries concerning a novel therapy against Malaria"""
738,César,Milstein,1927-10-08,2002-03-24,Argentina,male,1984,Medicine,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies"""
739,James P.,Allison,1948-08-07,,USA,male,2018,Medicine,"""for their discovery of cancer therapy by inhibition of negative immune regulation"""
740,Frances H.,Arnold,1956-07-25,,USA,female,2018,Chemistry,"""for the directed evolution of enzymes"""
741,Sir Gregory P.,Winter,1951-04-14,,United Kingdom,male,2018,Chemistry,"""for the phage display of peptides and antibodies"""
742,Richard L.M.,Synge,1914-10-28,1994-08-18,United Kingdom,male,1952,Chemistry,"""for their invention of partition chromatography"""
743,Vladimir,Prelog,1906-07-23,1998-01-07,Bosnia and Herzegovina,male,1975,Chemistry,"""for his research into the stereochemistry of organic molecules and reactions"""
744,Peter,Mitchell,1920-09-29,1992-04-10,United Kingdom,male,1978,Chemistry,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory"""
745,John C.,Polanyi,1929-01-23,,Germany,male,1986,Chemistry,"""for their contributions concerning the dynamics of chemical elementary processes"""
746,Robert,Huber,1937-02-20,,Germany,male,1988,Chemistry,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre"""
747,Rudolph A.,Marcus,1923-07-21,,Canada,male,1992,Chemistry,"""for his contributions to the theory of electron transfer reactions in chemical systems"""
748,Henrik,Dam,1895-02-21,1976-04-17,Denmark,male,1943,Medicine,"""for his discovery of vitamin K"""
749,Gerty,Cori,1896-08-15,1957-10-26,Czech Republic,female,1947,Medicine,"""for their discovery of the course of the catalytic conversion of glycogen"""
